
model:43_layers18_margin20_epoch43.tar
class:1 , accuracy:0.61957
class:2 , accuracy:1.0
class:3 , accuracy:0.98
class:4 , accuracy:0.9
class:5 , accuracy:0.95
class:6 , accuracy:1.0
class:7 , accuracy:0.94
class:8 , accuracy:0.99
class:9 , accuracy:0.99
class:10, accuracy:0.96
class:11, accuracy:1.0
class:12, accuracy:1.0
class:13, accuracy:0.87143
class:14, accuracy:1.0
class:15, accuracy:0.92
class:16, accuracy:0.99
class:17, accuracy:0.97
class:18, accuracy:1.0
class:19, accuracy:0.89
class:20, accuracy:0.93
class:21, accuracy:1.0
class:22, accuracy:0.94
class:23, accuracy:0.83
class:24, accuracy:0.66
class:25, accuracy:0.95
class:26, accuracy:0.39
class:27, accuracy:0.96
class:28, accuracy:0.96
class:29, accuracy:0.81
class:30, accuracy:0.8
class:31, accuracy:0.96907
class:32, accuracy:0.99
class:33, accuracy:0.86
class:34, accuracy:0.99
class:35, accuracy:0.11
class:36, accuracy:0.98462
class:37, accuracy:1.0
class:38, accuracy:0.95
class:39, accuracy:0.95
class:40, accuracy:0.95918
class:41, accuracy:0.4
class:42, accuracy:0.75
class:43, accuracy:0.8
class:44, accuracy:0.44
class:45, accuracy:0.49
class:46, accuracy:0.78261
class:47, accuracy:0.96
class:48, accuracy:0.62
class:49, accuracy:0.78
class:50, accuracy:0.55
class:51, accuracy:0.39
class:52, accuracy:0.57
class:53, accuracy:0.96
class:54, accuracy:0.66
* Accuracy: 0.83282 under 54 classes, 5 samples/class

model:96_layers18_margin20_epoch96.tar
class:1 , accuracy:0.93478
class:2 , accuracy:1.0
class:3 , accuracy:1.0
class:4 , accuracy:0.95
class:5 , accuracy:1.0
class:6 , accuracy:1.0
class:7 , accuracy:1.0
class:8 , accuracy:1.0
class:9 , accuracy:0.97
class:10, accuracy:1.0
class:11, accuracy:1.0
class:12, accuracy:1.0
class:13, accuracy:1.0
class:14, accuracy:1.0
class:15, accuracy:0.9
class:16, accuracy:1.0
class:17, accuracy:1.0
class:18, accuracy:1.0
class:19, accuracy:1.0
class:20, accuracy:0.97
class:21, accuracy:1.0
class:22, accuracy:1.0
class:23, accuracy:0.98
class:24, accuracy:0.98
class:25, accuracy:0.99
class:26, accuracy:0.86
class:27, accuracy:0.97
class:28, accuracy:1.0
class:29, accuracy:0.89
class:30, accuracy:0.92
class:31, accuracy:0.97938
class:32, accuracy:0.99
class:33, accuracy:0.93
class:34, accuracy:1.0
class:35, accuracy:0.13
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.97
class:39, accuracy:1.0
class:40, accuracy:1.0
class:41, accuracy:0.33
class:42, accuracy:0.63
class:43, accuracy:0.58889
class:44, accuracy:0.64
class:45, accuracy:0.53
class:46, accuracy:0.82609
class:47, accuracy:0.94
class:48, accuracy:0.71
class:49, accuracy:0.85
class:50, accuracy:0.69
class:51, accuracy:0.48
class:52, accuracy:0.79
class:53, accuracy:0.87
class:54, accuracy:0.7
* Accuracy: 0.88424 under 54 classes, 5 samples/class

model:19_layers18_margin20_epoch19.tar
class:1 , accuracy:0.69565
class:2 , accuracy:0.95
class:3 , accuracy:0.96
class:4 , accuracy:0.72
class:5 , accuracy:0.7
class:6 , accuracy:0.98
class:7 , accuracy:0.85
class:8 , accuracy:0.81
class:9 , accuracy:0.91
class:10, accuracy:0.76
class:11, accuracy:0.97
class:12, accuracy:0.96
class:13, accuracy:0.75714
class:14, accuracy:0.99
class:15, accuracy:0.71
class:16, accuracy:0.94
class:17, accuracy:0.59
class:18, accuracy:1.0
class:19, accuracy:0.75
class:20, accuracy:0.74
class:21, accuracy:0.98
class:22, accuracy:0.29
class:23, accuracy:0.53
class:24, accuracy:0.45
class:25, accuracy:0.96
class:26, accuracy:0.44
class:27, accuracy:0.89
class:28, accuracy:0.49
class:29, accuracy:0.8
class:30, accuracy:0.67
class:31, accuracy:0.81443
class:32, accuracy:0.98
class:33, accuracy:0.51
class:34, accuracy:0.98
class:35, accuracy:0.13
class:36, accuracy:1.0
class:37, accuracy:0.97
class:38, accuracy:0.88
class:39, accuracy:0.74
class:40, accuracy:0.79592
class:41, accuracy:0.38
class:42, accuracy:0.61
class:43, accuracy:0.83333
class:44, accuracy:0.55
class:45, accuracy:0.36
class:46, accuracy:0.76812
class:47, accuracy:0.77
class:48, accuracy:0.49
class:49, accuracy:0.95
class:50, accuracy:0.75
class:51, accuracy:0.46
class:52, accuracy:0.38
class:53, accuracy:0.95
class:54, accuracy:0.79
* Accuracy: 0.73998 under 54 classes, 5 samples/class

model:75_layers18_margin20_epoch75.tar
class:1 , accuracy:0.81522
class:2 , accuracy:1.0
class:3 , accuracy:1.0
class:4 , accuracy:0.85
class:5 , accuracy:0.93333
class:6 , accuracy:1.0
class:7 , accuracy:0.97
class:8 , accuracy:0.97
class:9 , accuracy:0.98
class:10, accuracy:0.99
class:11, accuracy:1.0
class:12, accuracy:1.0
class:13, accuracy:0.9
class:14, accuracy:1.0
class:15, accuracy:0.88
class:16, accuracy:0.99
class:17, accuracy:1.0
class:18, accuracy:1.0
class:19, accuracy:1.0
class:20, accuracy:0.94
class:21, accuracy:1.0
class:22, accuracy:0.97
class:23, accuracy:0.9
class:24, accuracy:0.95
class:25, accuracy:0.98
class:26, accuracy:0.67
class:27, accuracy:0.99
class:28, accuracy:1.0
class:29, accuracy:0.8
class:30, accuracy:0.62
class:31, accuracy:0.95876
class:32, accuracy:0.99
class:33, accuracy:0.86
class:34, accuracy:1.0
class:35, accuracy:0.13
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.95
class:39, accuracy:0.97
class:40, accuracy:1.0
class:41, accuracy:0.42
class:42, accuracy:0.48
class:43, accuracy:0.65556
class:44, accuracy:0.52
class:45, accuracy:0.47
class:46, accuracy:0.81159
class:47, accuracy:0.9
class:48, accuracy:0.67
class:49, accuracy:0.67
class:50, accuracy:0.82
class:51, accuracy:0.54
class:52, accuracy:0.56
class:53, accuracy:0.8
class:54, accuracy:0.82
* Accuracy: 0.85092 under 54 classes, 5 samples/class

model:13_layers18_margin20_epoch13.tar
class:1 , accuracy:0.51087
class:2 , accuracy:0.97
class:3 , accuracy:0.93
class:4 , accuracy:0.56
class:5 , accuracy:0.6
class:6 , accuracy:0.97
class:7 , accuracy:0.75
class:8 , accuracy:0.57
class:9 , accuracy:0.46
class:10, accuracy:0.85
class:11, accuracy:0.93
class:12, accuracy:0.97
class:13, accuracy:0.48571
class:14, accuracy:0.95
class:15, accuracy:0.77
class:16, accuracy:0.97
class:17, accuracy:0.51
class:18, accuracy:1.0
class:19, accuracy:0.81
class:20, accuracy:0.53
class:21, accuracy:0.98
class:22, accuracy:0.79
class:23, accuracy:0.46
class:24, accuracy:0.42
class:25, accuracy:0.93
class:26, accuracy:0.38
class:27, accuracy:0.84
class:28, accuracy:0.86
class:29, accuracy:0.72
class:30, accuracy:0.83
class:31, accuracy:0.89691
class:32, accuracy:0.93
class:33, accuracy:0.37
class:34, accuracy:0.99
class:35, accuracy:0.31
class:36, accuracy:0.93846
class:37, accuracy:0.99
class:38, accuracy:0.95
class:39, accuracy:0.74
class:40, accuracy:0.79592
class:41, accuracy:0.54
class:42, accuracy:0.49
class:43, accuracy:0.66667
class:44, accuracy:0.46
class:45, accuracy:0.52
class:46, accuracy:0.78261
class:47, accuracy:0.88
class:48, accuracy:0.43
class:49, accuracy:0.63
class:50, accuracy:0.61
class:51, accuracy:0.57
class:52, accuracy:0.77
class:53, accuracy:0.91
class:54, accuracy:0.56
